maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,3,1,2,1,48,73,102,162,53,89,253,0.8,21.5,47.11,39.7,96.4,160.3,41.1,243.7,429.1,0.011,0.065,0.1144,54,63,11.5,3.1,12,23,287,1333.33,160.5,1066.67
1,3,1,2,2,41,20,37,43,50,54,123,5.39,10.64,115.6,45.3,101.2,171.4,52,153.6,408.5,0.0139,0.0409,0.1089,54,61,14.8,3.4,13,31,410,2333.33,202,1666.67
1,3,1,2,3,48,25,42,53,53,96,118,11.85,100,134.7,45.6,106.4,173.5,55.4,250.4,564.5,0.0148,0.0668,0.1505,56,63,13.7,3.7,15,26,376,2666.67,167.5,1833.33
1,3,1,3,1,40,76,111,140,65,218,250,10.4,32.6,148.1,39.6,117.9,147,33.2,297.8,432.6,0.0089,0.0794,0.1154,54,60,8,3.2,11,20,220,1166.67,100,1000
1,3,1,3,2,42,14,52,103,64,67,103,3.28,22.85,89.7,41.8,116.3,198.6,55.2,330.8,484.9,0.0147,0.0882,0.1293,54,57,9,3.4,12,21,252,1333.33,108,1111.67
1,3,1,3,3,43,5,13,63,49,159,170,35.8,46.12,100,37.8,98.1,134.7,38.3,237.4,355.9,0.0102,0.063,0.0949,55,61,10,3.6,13,24,312,1166.67,110,1083.33
1,3,2,1,1,55,17,56,60,46,70,81,1.18,30.3,41.2,40.3,82.9,135.6,51.4,248.9,535.4,0.0137,0.0664,0.1428,54,59,15.7,4.1,13,33,418,8033.33,219.5,5418.57
1,3,2,1,2,40,27,45,46,36,37,60,0.76,13.74,35.74,44,114.7,174.5,125.2,379.9,506.9,0.0334,0.1013,0.1352,51,55,17,4.2,13,36,459,3719.85,229,2700.73
1,3,2,1,3,54,32,95,96,46,57,63,1.5,17.03,21.8,52.8,152.3,202,31.3,490.6,636.5,0.0083,0.1308,0.1697,52,56,16.8,4,14,37,513,3035.55,213.5,2312.68
1,3,2,2,1,41,39,73,100,28,54,85,3.8,4,13.51,51.2,127.2,181.6,78.4,350.4,493.9,0.0209,0.0934,0.1317,54,59,16.7,4.2,13,37,493,5523.33,247,4038.33
1,3,2,2,2,48,100,133,253,35,75,89,2.89,15.36,20.2,52,112,193.3,72.2,211.1,473.1,0.0193,0.0563,0.1262,54,61,17.5,4,13,34,425,3151.67,197.5,2425
1,3,2,2,3,50,10,18,35,52,83,96,4.78,18.5,29.6,43.8,115.8,170.7,56.9,249.1,476.2,0.0152,0.0664,0.123,54,60,15.5,3.8,15,33,509,4155,196,4111.67
1,3,2,3,1,40,82,106,126,40,57,60,3.87,7.97,36.4,49.7,138.1,174.8,46.6,362.8,480,0.0124,0.0967,0.128,51,54,13.5,3.5,12,31,368,3333.33,184,2166.67
1,3,2,3,2,43,27,60,83,27,55,58,2.3,4.48,39.54,41.5,112.4,141,45.4,268.4,398.5,0.0121,0.0716,0.1063,53,57,14.8,3.7,13,34,448,2857.17,174,1905.5
1,3,2,3,3,41,25,52,74,30,66,83,3.17,13.07,33.23,40.2,108.9,169.3,38.2,254.7,514.7,0.0102,0.0679,0.1373,52,56,15.5,4,14,35,483,2500,170,1666.67
1,3,3,1,1,56,56,88,123,20,43,100,0.2,18.6,29.8,46.8,118.1,154.4,86.7,292.8,628.6,0.0231,0.0781,0.1676,51,58,14.2,4,13,30,377,2677.33,188,2054.62
1,3,3,1,2,40,9,22,49,36,38,45,7.3,12.1,26.54,41.4,103.8,142,136.7,321.6,440,0.0365,0.0858,0.1173,54,59,13.7,3.7,13,26,331,2816.5,186,2215.65
1,3,3,1,3,54,36,50,55,17,83,57,0.12,36.89,9.71,43.1,124.4,169.9,61.8,439.7,561,0.0164,0.1173,0.1496,51,56,15.1,4.3,14,37,523,3677.77,211,2854.35
1,3,3,2,1,48,2,9,18,23,43,49,1.33,7.9,39.6,47.7,72.7,167.4,62.2,141.6,411.3,0.0166,0.0378,0.1097,54,61,16.3,4.4,13,34,459,4951.67,249,3570
1,3,3,2,2,48,25,47,83,29,39,138,3.11,7.95,40.7,37.6,95.8,152.4,34.3,271,367.4,0.0097,0.0722,0.098,54,61,14.5,3.5,12,32,384,2871.67,202.5,2091.67
1,3,3,2,3,50,5,12,20,25,31,44,1.65,3.5,8.6,56.8,137,183,82.6,380.5,440,0.022,0.1015,0.1254,54,63,18.7,4.6,15,38,561,6871.67,281,3783.3
1,3,3,3,1,40,84,114,136,26,45,75,0.6,10.99,88.6,46.3,127.8,165.6,46.5,355.7,391.5,0.0124,0.0949,0.1044,52,58,13.2,3.6,12,31,372,3833.33,170,3166.67
1,3,3,3,2,41,81,185,192,32,56,111,0.48,11,91.42,40.3,106.1,163.7,49.9,202.2,474.5,0.0133,0.0539,0.1265,52,57,14.2,3.8,13,34,428,3333.33,156,2933.33
1,3,3,3,3,38,43,73,75,35,39,156,2,27.12,85.37,38,140.4,197.9,42.9,356.6,593.6,0.0114,0.0317,0.1583,50,55,15.3,4,14,35,473,3083.33,150,2416.67
1,3,4,1,1,57,2,4,5,20,77,15,0.19,15.48,3.21,34.6,98.7,156.4,40.7,256.8,595.1,0.0109,0.0685,0.1587,58,61,17.5,4.2,13,38,487,4243.17,263,3164.2
1,3,4,1,2,56,3,4,9,22,119,16,1,74.68,3.56,47.2,122.3,166.4,185.1,417.9,563,0.0494,0.1115,0.1501,53,58,16.2,3.9,13,36,478,4525.63,250.5,3492.15
1,3,4,1,3,54,1,1,2,18,109,18,0.21,15.29,4.57,42.9,110.9,174.5,56.7,405.7,477.5,0.0151,0.1082,0.1273,53,58,18,4.1,13,40,507,5244.56,258.5,4031.8
1,3,4,2,1,48,4,12,28,22,69,4,1.1,13.3,2.22,58.1,135.8,193.8,82.8,330.2,393.8,0.0221,0.088,0.105,54,59,15.8,4,13,37,467,4383.33,263.5,3250
1,3,4,2,2,42,2,5,8,43,44,46,0.89,1.11,5.83,43.1,111.1,204.1,53.1,252.3,518.4,0.0142,0.0673,0.1383,54,59,17.2,4,13,34,422,5800,270,4166.67
1,3,4,2,3,48,6,11,21,20,49,10,0.49,3.6,1.7,43.6,123.7,193.6,75.6,239.2,569.6,0.0202,0.0638,0.1519,54,61,16.3,4.4,14,37,523,5221.67,241,3733.33
1,3,4,3,1,41,1,3,9,16,128,10,1,15.12,4.8,41.6,132.6,150.3,35.6,291.1,375.7,0.0095,0.0776,0.1002,50,56,13.5,3.5,12,33,396,3333.33,194.5,2333.33
1,3,4,3,2,41,1,1,2,18,87,12,0.71,14.37,5.52,38,105.8,149.4,42.5,273.2,429.4,0.0113,0.0729,0.1145,52,57,14.8,3.8,12,35,424,2833.33,184.5,2166.67
